,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Landing Count,Total Landed Weight
160,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B738,230,33649000
161,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B763,40,12400000
162,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,26,3700455
163,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E175,35,2626589
164,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,5,688945
165,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,B773,93,51522000
166,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A319,1,137700
167,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,23,3093086
168,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,1660,233566413
169,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,1445,211403500
170,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A320,26,3716990
171,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,B764,29,10150000
172,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,12,1613784
173,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,B773,31,17174000
174,SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E170,117,8769969
175,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,B744,25,15869000
176,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,B789,31,13175000
177,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A333,24,9788520
178,Redding Aero Enterprises,bxr,Redding Aero Enterprises,bxr,Domestic,US,Freighter,Turbo Prop,Cessna,C208,23,195500
179,WOW Air,WW,WOW Air,WW,International,Europe,Passenger,Wide Body,Airbus,A333,31,12643505
180,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,B789,3,1275000
181,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,B752,2,396000
182,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Airbus,A319,4,551152
183,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ7,238,15946000
184,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,B772,18,8856000
185,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Airbus,A320,81,11584178
186,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,B772,62,28520000
187,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,E170,30,2248710
188,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,B712,239,26290000
189,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,B789,31,13175000
190,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,B738,94,13556700
191,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B788,41,15580000
192,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B772,1,470000
193,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,B773,62,34348000
194,Horizon Air,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Embraer,E170,90,6752760
195,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ2,31,1457000
196,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B744,5,3274000
197,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B763,1,320000
198,"Atlas Air, Inc",5Y,"Atlas Air, Inc",5Y,Domestic,US,Freighter,Wide Body,Boeing,B763,23,7378000
199,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A388,31,26775129
200,French Bee,BF,French Bee,BF,International,Australia / Oceania,Passenger,Wide Body,Airbus,A359,12,5476284
201,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,B748,31,21328000
202,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,B737,18,2325600
